gid,created_at,title,current_price,original_price,image_url,rating,review_count,url,categories
www.walmart.com-7c16449206d501c06daa43d736aeef7f,2022-03-11T17:26:00.8667Z,Turner & Hooch (DVD),$8.84,$8.84,https://i5.walmartimages.com/asr/02a43650-ed04-496d-9bda-960a7812136b_1.79d8228a264fcc9c77c3b1ef153c511d.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.9,98,https://www.walmart.com/ip/Turner-Hooch-DVD/1957185,[Movies & TV Shows Disney Movies Disney Movies]
www.walmart.com-80679c59ef09f36ae57143aacd90865f,2022-03-11T17:14:03.678469Z,Dumb and Dumber / Dumb and Dumberer (DVD),$7.98,$7.98,https://i5.walmartimages.com/asr/e15851e0-c462-42bf-b969-78ca7b2d733e.f493844b9d34226d2121f94d9e64ed14.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.7,33,https://www.walmart.com/ip/Dumb-and-Dumber-Dumb-and-Dumberer-DVD/11090042,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-1296ccc9361f497d4d6d11703d0ce7ec,2022-03-11T17:51:58.160119Z,The Handmaid?s Tale: Season Two (DVD),$12.17,$29.98,https://i5.walmartimages.com/asr/11eaaa09-8287-49c2-9ae9-e453f4755950_1.371774dc3d99539bdc4156d54d0ab20b.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5.0,6,https://www.walmart.com/ip/The-Handmaid-s-Tale-Season-Two-DVD/835445186,[Movies & TV Shows Shop TV Shows by Format TV Shows on DVD]
www.walmart.com-42aa1710a085f1715af9c38fad7e0559,2022-03-11T17:26:14.762597Z,Sherlock: The Complete Series & Abominable Bride (Blu-ray),$56.70,$99.99,https://i5.walmartimages.com/asr/327d266a-f664-4702-90f3-3cdacb3a8304_1.8084022fe335950fbc4445f340c7af75.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,,,https://www.walmart.com/ip/Sherlock-The-Complete-Series-Abominable-Bride-Blu-ray/883376218,[Movies & TV Shows Complete TV Series & Box Sets]
www.walmart.com-1f0f8eb29f459f74c5098bea9a1593df,2022-03-11T17:18:18.712009Z,Classical Stretch - Age Reversing Workouts for Beginners (DVD),$29.99,$29.99,https://i5.walmartimages.com/asr/e5cb20c7-7fd3-4a9b-96c0-b2d4ebd1637f_1.6546b1bc2ff5acc991e366d38655ce91.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.4,7,https://www.walmart.com/ip/Classical-Stretch-Age-Reversing-Workouts-for-Beginners-DVD/116478526,[Movies & TV Shows TV Shows Health & Fitness TV Shows Stretching]
www.walmart.com-2d29ce0e952ed6b9c63fdb24651bdfd3,2022-03-11T16:49:48.944999Z,Wonder (Blu-ray + DVD),$7.99,$7.99,https://i5.walmartimages.com/asr/21b250ea-6779-4ed8-97d8-2a468087ab37.8bbea278a03419eefaa37d74e068dc2b.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,5.0,7,https://www.walmart.com/ip/Wonder-Blu-ray-DVD/694578336,[Movies & TV Shows Blu-ray Movies Drama]
www.walmart.com-6194ffbe68b696c74c9b0fe567a39874,2022-03-11T17:48:44.178453Z,Friendly Persuasion (DVD),$9.99,$14.97,https://i5.walmartimages.com/asr/3977a300-e401-4cae-ba58-039c370fe2ab.dd1cdef571c193de18ac554431b32c9d.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.5,11,https://www.walmart.com/ip/Friendly-Persuasion-DVD/1077496,[Movies & TV Shows Warner Brothers Movies All Warner Brothers Movies]
www.walmart.com-da543673b261b35adb8ab609f16815b3,2022-03-11T17:36:51.156794Z,Dazed and Confused (DVD),$4.99,$4.99,https://i5.walmartimages.com/asr/6a9e894d-3fd1-4d75-8700-f94adb1f3369_1.414294ca72f8c54378b7750d5a7b3cfa.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.9,13,https://www.walmart.com/ip/Dazed-and-Confused-DVD/2689798,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-dc36d51705f67d4bde9f9d96e5daea64,2022-03-11T17:31:43.966006Z,Erin Brockovich (DVD),$5.49,$5.49,https://i5.walmartimages.com/asr/1d9bf986-df8b-4c33-ae76-62b9d75d64d0.e75c940eb168ca1ac0180367159505a3.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,5.0,26,https://www.walmart.com/ip/Erin-Brockovich-DVD/1101431,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-5f5aaf7dcacdaf410251d546ac0fb633,2022-03-11T17:08:47.170431Z,The Flintstones (DVD),$7.99,$7.99,https://i5.walmartimages.com/asr/4e32f2e5-d51a-45b3-b77a-0b3c91484f1b.13890aedcc207d8bbfbfaac23c2b98f1.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.5,31,https://www.walmart.com/ip/The-Flintstones-DVD/1079457,[Movies & TV Shows Shop Movies by Format DVD Movies]
